17078416,17135336,17023844,17094860,16934124,181.80,182.49,180.36,185.52,190.20
14416248,14158088,14466500,14204380,14498608,151.18,149.43,154.81,153.46,150.42
4443056,4434804,4444120,4443204,4440604,42.66,42.71,43.18,42.76,42.72
4135644,4137964,4115604,4140884,4131496,40.15,40.44,40.55,40.93,40.40
