1,"[62027.4, 0.0, 5.0]","[1.0, 0.0, 5.0]"
2,"[61640.6, 0.0, 10.0]","[1.0, 0.0, 10.0]"
3,"[60833.6, 0.0, 20.0]","[1.0, 0.0, 20.2]"
4,"[59997.6, 0.0, 30.0]","[1.0, 0.0, 30.4]"
5,"[61818.8, 5.4, 5.0]","[1.0, 5.2, 10.8]"
6,"[61149.6, 10.2, 10.0]","[1.0, 10.0, 25.4]"
7,"[59770.2, 22.4, 20.2]","[1.0, 20.4, 48.0]"
8,"[58414.4, 33.4, 30.6]","[1.0, 30.8, 74.8]"
9,"[62023.4, 4.6, 2.0]","[1.0, 4.0, 9.6]"
10,"[61806.2, 6.4, 2.0]","[1.0, 6.4, 10.4]"
11,"[61585.8, 8.6, 2.2]","[1.0, 8.6, 16.4]"
12,"[61385.8, 10.2, 2.0]","[1.0, 10.6, 22.4]"
